coordinate,x,y,overall-no-arctic,arctic
0.343,0.341336,0.297045,0.249222,0.000000
0.344,0.341336,0.297045,0.249222,0.000000
0.345,0.341336,0.297045,0.249222,0.000000
0.346,0.341336,0.297045,0.249222,0.000000
0.347,0.341336,0.297045,0.249222,0.000000
0.348,0.341336,0.297045,0.249222,0.000000
0.349,0.341336,0.297045,0.249222,0.000000
0.350,0.341336,0.297045,0.249222,0.000000
0.351,0.341336,0.297045,0.249222,0.000000
0.352,0.341336,0.297045,0.249222,0.000000
0.353,0.341336,0.297045,0.249222,0.000000
0.354,0.341336,0.297045,0.249222,0.000000
0.355,0.341336,0.297045,0.249222,0.000000
0.356,0.341336,0.297045,0.249222,0.000000
0.357,0.341336,0.297045,0.249222,0.000000
0.358,0.342414,0.295812,0.249222,0.000000
0.359,0.342414,0.295812,0.249222,0.000000
0.360,0.342414,0.295812,0.249222,0.000000
0.361,0.342414,0.295812,0.249222,0.000000
0.362,0.342414,0.295812,0.249222,0.000000
0.363,0.342414,0.295812,0.249222,0.000000
0.364,0.342414,0.295812,0.249222,0.000000
0.365,0.342414,0.295812,0.249222,0.000000
0.366,0.342414,0.295812,0.249222,0.000000
0.367,0.342414,0.295812,0.249222,0.000000
0.368,0.342414,0.295812,0.249222,0.000000
0.369,0.342414,0.295812,0.249222,0.000000
0.370,0.342414,0.295812,0.249222,0.000000
0.371,0.342414,0.295812,0.249222,0.000000
0.372,0.342414,0.294732,0.249222,0.000000
0.373,0.342414,0.294732,0.249222,0.000000
0.374,0.342414,0.294732,0.249222,0.000000
0.375,0.343986,0.294732,0.249222,0.000000
0.376,0.343986,0.294732,0.249222,0.000000
0.377,0.343986,0.294732,0.249222,0.000000
0.378,0.343986,0.294732,0.249222,0.000000
0.379,0.343986,0.294732,0.249222,0.000000
0.380,0.343986,0.294732,0.249222,0.000000
0.381,0.343986,0.294732,0.249222,0.000000
0.382,0.343986,0.294732,0.249222,0.000000
0.383,0.343986,0.294732,0.249222,0.000000
0.384,0.343986,0.294732,0.249222,0.000000
0.385,0.343986,0.294732,0.249222,0.000000
0.386,0.343986,0.292625,0.249222,0.000000
0.387,0.343986,0.292625,0.249222,0.000000
0.388,0.343986,0.292625,0.249222,0.000000
0.389,0.343986,0.292625,0.249222,0.000000
0.390,0.343986,0.292625,0.249222,0.000000
0.391,0.343986,0.292625,0.249222,0.000000
0.392,0.343986,0.292625,0.249222,0.000000
0.393,0.342550,0.292625,0.249222,0.000000
0.394,0.342550,0.292625,0.249222,0.000000
0.395,0.342550,0.292625,0.249222,0.000000
0.396,0.342550,0.292625,0.249222,0.000000
0.397,0.342550,0.292625,0.249222,0.000000
0.398,0.342550,0.292625,0.249222,0.000000
0.399,0.342550,0.292625,0.249222,0.000000
0.400,0.342550,0.292009,0.249222,0.000000
0.401,0.342550,0.292009,0.249222,0.000000
0.402,0.342550,0.292009,0.249222,0.000000
0.403,0.342550,0.292009,0.249222,0.000000
