coordinate,x,y,overall-no-arctic,arctic
0.194,0.141964,0.136839,0.122183,0.000000
0.195,0.141964,0.136839,0.122183,0.000000
0.196,0.141964,0.136839,0.122183,0.000000
0.197,0.147879,0.136839,0.122183,0.000000
0.198,0.147879,0.136839,0.122183,0.000000
0.199,0.147879,0.136839,0.122183,0.000000
0.200,0.147879,0.137161,0.122183,0.000000
0.201,0.147879,0.137161,0.122183,0.000000
0.202,0.147879,0.137161,0.122183,0.000000
0.203,0.147879,0.137161,0.122183,0.000000
0.204,0.147879,0.137161,0.122183,0.000000
0.205,0.147879,0.137161,0.122183,0.000000
0.206,0.147879,0.137161,0.122183,0.000000
0.207,0.147879,0.137161,0.122183,0.000000
0.208,0.147879,0.137161,0.122183,0.000000
0.209,0.147879,0.137161,0.122183,0.000000
0.210,0.147879,0.137161,0.122183,0.000000
0.211,0.147879,0.137161,0.122183,0.000000
0.212,0.147879,0.137161,0.122183,0.000000
0.213,0.147879,0.137161,0.122183,0.000000
0.214,0.147879,0.137161,0.122183,0.000000
0.215,0.151893,0.140313,0.122183,0.000000
0.216,0.151893,0.140313,0.122183,0.000000
0.217,0.151893,0.140313,0.122183,0.000000
0.218,0.151893,0.140313,0.122183,0.000000
0.219,0.151893,0.140313,0.122183,0.000000
0.220,0.151893,0.140313,0.122183,0.000000
0.221,0.151893,0.140313,0.122183,0.000000
0.222,0.151893,0.140313,0.122183,0.000000
0.223,0.151893,0.140313,0.122183,0.000000
0.224,0.151893,0.140313,0.122183,0.000000
0.225,0.151893,0.140313,0.122183,0.000000
0.226,0.151893,0.140313,0.122183,0.000000
0.227,0.151893,0.140313,0.122183,0.000000
0.228,0.151893,0.140313,0.122183,0.000000
0.229,0.151893,0.142054,0.122183,0.000000
0.230,0.151893,0.142054,0.122183,0.000000
0.231,0.151893,0.142054,0.122183,0.000000
0.232,0.151893,0.142054,0.122183,0.000000
0.233,0.156671,0.142054,0.122183,0.000000
0.234,0.156671,0.142054,0.122183,0.000000
0.235,0.156671,0.142054,0.122183,0.000000
0.236,0.156671,0.142054,0.122183,0.000000
0.237,0.156671,0.142054,0.122183,0.000000
0.238,0.156671,0.142054,0.122183,0.000000
0.239,0.156671,0.142054,0.122183,0.000000
0.240,0.156671,0.142054,0.122183,0.000000
0.241,0.156671,0.142054,0.122183,0.000000
0.242,0.156671,0.142054,0.122183,0.000000
0.243,0.156671,0.143196,0.122183,0.000000
0.244,0.156671,0.143196,0.122183,0.000000
0.245,0.156671,0.143196,0.122183,0.000000
0.246,0.156671,0.143196,0.122183,0.000000
0.247,0.156671,0.143196,0.122183,0.000000
0.248,0.156671,0.143196,0.122183,0.000000
0.249,0.156671,0.143196,0.122183,0.000000
0.250,0.159621,0.143196,0.122183,0.000000
0.251,0.159621,0.143196,0.122183,0.000000
0.252,0.159621,0.143196,0.122183,0.000000
0.253,0.159621,0.143196,0.122183,0.000000
0.254,0.159621,0.143196,0.122183,0.000000
0.255,0.159621,0.143196,0.122183,0.000000
0.256,0.159621,0.143196,0.122183,0.000000
0.257,0.159621,0.143196,0.122183,0.000000
0.258,0.159621,0.144366,0.122183,0.000000
0.259,0.159621,0.144366,0.122183,0.000000
0.260,0.159621,0.144366,0.122183,0.000000
0.261,0.159621,0.144366,0.122183,0.000000
0.262,0.159621,0.144366,0.122183,0.000000
0.263,0.159621,0.144366,0.122183,0.000000
0.264,0.159621,0.144366,0.122183,0.000000
0.265,0.159621,0.144366,0.122183,0.000000
0.266,0.159621,0.144366,0.122183,0.000000
0.267,0.159621,0.144366,0.122183,0.000000
0.268,0.161014,0.144366,0.122183,0.000000
0.269,0.161014,0.144366,0.122183,0.000000
0.270,0.161014,0.144366,0.122183,0.000000
0.271,0.161014,0.144366,0.122183,0.000000
0.272,0.161014,0.144045,0.122183,0.000000
0.273,0.161014,0.144045,0.122183,0.000000
0.274,0.161014,0.144045,0.122183,0.000000
0.275,0.161014,0.144045,0.122183,0.000000
0.276,0.161014,0.144045,0.122183,0.000000
0.277,0.161014,0.144045,0.122183,0.000000
0.278,0.161014,0.144045,0.122183,0.000000
0.279,0.161014,0.144045,0.122183,0.000000
0.280,0.161014,0.144045,0.122183,0.000000
0.281,0.161014,0.144045,0.122183,0.000000
0.282,0.161014,0.144045,0.122183,0.000000
0.283,0.161014,0.144045,0.122183,0.000000
0.284,0.161014,0.144045,0.122183,0.000000
0.285,0.161014,0.144045,0.122183,0.000000
0.286,0.164007,0.145259,0.122183,0.000000
0.287,0.164007,0.145259,0.122183,0.000000
