y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
49,0,0.230026,0.0132395,0.17252,0.336476,0.173562,0,0.0741767,0
50,0,0.20555,0.0200147,0.200908,0.337206,0.171888,0,0.0644327,0
51,0,0.182547,0.0275433,0.230804,0.330217,0.172845,0,0.0560441,0
52,0,0.156386,0.0403559,0.263015,0.321995,0.170798,0,0.0474496,0
53,0,0.138947,0.0525493,0.295688,0.314893,0.155354,0,0.0425687,0
54,0,0.127136,0.0680815,0.329809,0.311172,0.128379,0,0.0354227,0
55,0,0.113004,0.0886249,0.368441,0.31538,0.0835223,0,0.0310277,0
56,0,0.105241,0.111441,0.402912,0.313171,0.0409503,0,0.0262843,0
57,0,0.0949441,0.130621,0.436035,0.298686,0.0139856,0,0.0257283,0
58,0,0.0857612,0.147639,0.453821,0.288949,0.0033389,0,0.0204911,0
59,0,0.0756525,0.161138,0.467532,0.277779,0.000248584,0,0.0176495,0
60,0,0.0711302,0.167723,0.474353,0.269885,0,0,0.0169087,0
61,0,0.065076,0.1794,0.482981,0.25798,0,0,0.0145627,0
62,0,0.0641756,0.178484,0.489927,0.254678,0,0,0.0127355,0
63,0,0.0620176,0.179437,0.493367,0.251913,0,0,0.0132656,0
64,0,0.0574185,0.176014,0.505998,0.249946,0,0,0.0106237,0
65,0,0.05884,0.16161,0.516093,0.253517,0,0,0.00994028,0
66,0,0.0609121,0.154378,0.513441,0.260248,0,0,0.0110204,0
67,0,0.0604782,0.140052,0.521259,0.26896,0,0,0.00925024,0
68,0,0.0639875,0.123283,0.5272,0.274718,0,0,0.0108119,0
69,0,0.0666018,0.104016,0.5268,0.292942,0,0,0.0096409,0
70,0,0.0723338,0.0921195,0.523965,0.30179,0,0,0.00979169,0
