coordinate,x,y,overall
0.049,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.05,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.051,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.052,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.053,0.014557142857142857,0.14355357142857142,0.2420327806122449
0.054,0.05114285714285714,0.14355357142857142,0.2420327806122449
0.055,0.05114285714285714,0.14355357142857142,0.2420327806122449
0.056,0.05114285714285714,0.14355357142857142,0.2420327806122449
0.057,0.05114285714285714,0.14355357142857142,0.2420327806122449
0.058,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.059,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.06,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.061,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.062,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.063,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.064,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.065,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.066,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.067,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.068,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.069,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.07,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.071,0.05114285714285714,0.17658928571428573,0.2420327806122449
0.072,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.073,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.074,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.075,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.076,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.077,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.078,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.079,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.08,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.081,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.082,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.083,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.084,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.085,0.11811428571428571,0.20166964285714287,0.2420327806122449
0.086,0.11811428571428571,0.22026785714285715,0.2420327806122449
0.087,0.11811428571428571,0.22026785714285715,0.2420327806122449
0.088,0.11811428571428571,0.22026785714285715,0.2420327806122449
0.089,0.11811428571428571,0.22026785714285715,0.2420327806122449
0.09,0.15665,0.22026785714285715,0.2420327806122449
0.091,0.15665,0.22026785714285715,0.2420327806122449
0.092,0.15665,0.22026785714285715,0.2420327806122449
0.093,0.15665,0.22026785714285715,0.2420327806122449
0.094,0.15665,0.22026785714285715,0.2420327806122449
0.095,0.15665,0.22026785714285715,0.2420327806122449
0.096,0.15665,0.22026785714285715,0.2420327806122449
0.097,0.15665,0.22026785714285715,0.2420327806122449
0.098,0.15665,0.22026785714285715,0.2420327806122449
0.099,0.15665,0.22026785714285715,0.2420327806122449
0.1,0.15665,0.2314732142857143,0.2420327806122449
0.101,0.15665,0.2314732142857143,0.2420327806122449
